split,formula,reaction,endpoint,n_atoms,dft_energy_eV,mace_energy_eV,endpoint_energy_error_eV
val,C2H2N2O,rxn2091,reactant,7,-7130.098051476260,-7136.977825469960,-6.879773993701
val,C2H2N2O,rxn2091,transition_state,7,-7126.253932088064,-7132.938804932233,-6.684872844169
val,C2H2N2O,rxn2091,product,7,-7127.571511082589,-7134.488202888302,-6.916691805714
val,C2H2N2O,rxn2092,reactant,7,-7130.098051488614,-7136.977825461632,-6.879773973018
val,C2H2N2O,rxn2092,transition_state,7,-7124.572094680663,-7127.998413181911,-3.426318501248
val,C2H2N2O,rxn2092,product,7,-7124.819917709924,-7127.900965532619,-3.081047822695
val,C2H2N2O,rxn2093,reactant,7,-7130.098051476260,-7136.977825469960,-6.879773993701
val,C2H2N2O,rxn2093,transition_state,7,-7127.832894539047,-7133.874376927771,-6.041482388724
val,C2H2N2O,rxn2093,product,7,-7128.137574705373,-7135.324166915315,-7.186592209942
val,C2H2N2O,rxn2545,reactant,7,-7128.751691833446,-7135.609846111487,-6.858154278041
val,C2H2N2O,rxn2545,transition_state,7,-7121.343657915391,-7128.492300635976,-7.148642720585
val,C2H2N2O,rxn2545,product,7,-7121.525297628928,-7128.828162837445,-7.302865208517
val,C2H2N2O,rxn2546,reactant,7,-7128.751691836657,-7135.609846111026,-6.858154274369
val,C2H2N2O,rxn2546,transition_state,7,-7121.258000378082,-7127.406530457389,-6.148530079307
val,C2H2N2O,rxn2546,product,7,-7126.679326485842,-7133.577832559755,-6.898506073912
val,C2H2N2O,rxn2547,reactant,7,-7128.751691833446,-7135.609846111487,-6.858154278041
val,C2H2N2O,rxn2547,transition_state,7,-7125.116430684564,-7131.065171380340,-5.948740695776
val,C2H2N2O,rxn2547,product,7,-7127.254896461220,-7134.359014964854,-7.104118503635
val,C2H2N2O,rxn3121,reactant,7,-7129.874339953371,-7136.709210500562,-6.834870547192
val,C2H2N2O,rxn3121,transition_state,7,-7127.221034968104,-7133.472552716494,-6.251517748390
val,C2H2N2O,rxn3121,product,7,-7130.150178254904,-7137.202467734155,-7.052289479251
val,C2H2N2O,rxn3122,reactant,7,-7129.874339953398,-7136.709210497714,-6.834870544316
val,C2H2N2O,rxn3122,transition_state,7,-7126.733954394898,-7133.874587547404,-7.140633152506
val,C2H2N2O,rxn3122,product,7,-7127.592195456662,-7134.653808168076,-7.061612711414
val,C2H2N2O,rxn3123,reactant,7,-7129.874339953398,-7136.709210497714,-6.834870544316
val,C2H2N2O,rxn3123,transition_state,7,-7125.079489298122,-7131.403476921989,-6.323987623867
val,C2H2N2O,rxn3123,product,7,-7126.678881368765,-7133.576976469833,-6.898095101068
val,C2H2N2O,rxn3124,reactant,7,-7129.874339953398,-7136.709210497714,-6.834870544316
val,C2H2N2O,rxn3124,transition_state,7,-7126.258924523045,-7131.312460769381,-5.053536246336
val,C2H2N2O,rxn3124,product,7,-7127.629527794746,-7134.699444971066,-7.069917176321
