split,formula,reaction,n_atoms,dft_reactant_energy_eV,dft_transition_state_energy_eV,dft_product_energy_eV,mace_reactant_energy_eV,mace_transition_state_energy_eV,mace_product_energy_eV,dft_forward_barrier_eV,mace_forward_barrier_eV,forward_barrier_error_eV,dft_reaction_energy_eV,mace_reaction_energy_eV,reaction_energy_error_eV,dft_reverse_barrier_eV,mace_reverse_barrier_eV,reverse_barrier_error_eV
val,C2H2N2O,rxn2091,7,-7130.09805147626,-7126.253932088064,-7127.571511082589,-7136.97782546996,-7132.938804932233,-7134.488202888302,3.844119388195395,4.039020537727083,0.19490114953168813,2.5265403936709845,2.4896225816582955,-0.036917812012688955,1.3175789945244105,1.5493979560687876,0.2318189615443771
val,C2H2N2O,rxn2092,7,-7130.098051488614,-7124.572094680663,-7124.819917709924,-7136.977825461632,-7127.998413181911,-7127.900965532619,5.525956807950934,8.979412279721146,3.453455471770212,5.278133778690062,9.076859929013153,3.798726150323091,0.2478230292608714,-0.09744764929200755,-0.34527067855287896
val,C2H2N2O,rxn2093,7,-7130.09805147626,-7127.832894539047,-7128.137574705373,-7136.97782546996,-7133.874376927771,-7135.324166915315,2.2651569372128506,3.1034485421896534,0.8382916049768028,1.9604767708869986,1.6536585546455171,-0.3068182162414814,0.30468016632585204,1.4497899875441362,1.1451098212182842
val,C2H2N2O,rxn2545,7,-7128.751691833446,-7121.343657915391,-7121.5252976289285,-7135.609846111487,-7128.492300635976,-7128.828162837445,7.408033918054571,7.117545475511179,-0.290488442543392,7.226394204517419,6.781683274041825,-0.44471093047559407,0.1816397135371517,0.33586220146935375,0.15422248793220206
val,C2H2N2O,rxn2546,7,-7128.751691836657,-7121.258000378082,-7126.6793264858425,-7135.609846111026,-7127.406530457389,-7133.577832559755,7.493691458575086,8.203315653637219,0.7096241950621334,2.0723653508148345,2.0320135512711204,-0.04035179954371415,5.421326107760251,6.1713021023660986,0.7499759946058475
val,C2H2N2O,rxn2547,7,-7128.751691833446,-7125.116430684564,-7127.25489646122,-7135.609846111487,-7131.06517138034,-7134.359014964854,3.6352611488819093,4.544674731147097,0.9094135822651879,1.4967953722261882,1.2508311466326631,-0.24596422559352504,2.138465776655721,3.293843584514434,1.155377807858713
val,C2H2N2O,rxn3121,7,-7129.8743399533705,-7127.221034968104,-7130.150178254904,-7136.709210500562,-7133.472552716494,-7137.202467734155,2.6533049852669137,3.236657784068484,0.5833527988015703,-0.27583830153344024,-0.4932572335928853,-0.21741893205944507,2.929143286800354,3.7299150176613693,0.8007717308610154
val,C2H2N2O,rxn3122,7,-7129.874339953398,-7126.733954394898,-7127.592195456662,-7136.709210497714,-7133.874587547404,-7134.6538081680765,3.1403855584994744,2.8346229503094946,-0.3057626081899798,2.282144496735782,2.055402329637218,-0.2267421670985641,0.8582410617636924,0.7792206206722767,-0.0790204410914157
val,C2H2N2O,rxn3123,7,-7129.874339953398,-7125.079489298122,-7126.678881368765,-7136.709210497714,-7131.403476921989,-7133.576976469833,4.794850655275695,5.305733575724844,0.5108829204491485,3.1954585846324335,3.1322340278802585,-0.06322455675217498,1.5993920706432618,2.1734995478445853,0.5741074772013235
val,C2H2N2O,rxn3124,7,-7129.874339953398,-7126.258924523045,-7127.629527794746,-7136.709210497714,-7131.312460769381,-7134.699444971066,3.615415430353096,5.396749728332907,1.7813342979798108,2.2448121586521665,2.009765526647243,-0.2350466320049236,1.3706032717009293,3.3869842016856637,2.0163809299847344
