split,formula,reaction,n_atoms,dft_reactant_energy_eV,dft_transition_state_energy_eV,dft_product_energy_eV,mace_reactant_energy_eV,mace_transition_state_energy_eV,mace_product_energy_eV,dft_forward_barrier_eV,mace_forward_barrier_eV,forward_barrier_error_eV,dft_reaction_energy_eV,mace_reaction_energy_eV,reaction_energy_error_eV,dft_reverse_barrier_eV,mace_reverse_barrier_eV,reverse_barrier_error_eV
train,C2H2N2O2,rxn3534,8,-9176.337552894462,-9172.614587102827,-9173.39661528796,-9176.443359375,-9172.7802734375,-9173.5771484375,3.722965791634124,3.6630859375,-0.05987985413412389,2.940937606501393,2.8662109375,-0.07472666900139302,0.7820281851327309,0.796875,0.014846814867269131
train,C2H2N2O2,rxn3535,8,-9176.337552894462,-9173.16145288093,-9174.42761078514,-9176.443359375,-9173.32421875,-9174.66015625,3.17610001353205,3.119140625,-0.05695938853205007,1.9099421093214914,1.783203125,-0.12673898432149144,1.2661579042105586,1.3359375,0.06977959578944137
train,C2H2N2O2,rxn3536,8,-9176.337552894462,-9171.186745422869,-9173.086273868992,-9176.443359375,-9171.3681640625,-9173.3544921875,5.150807471592998,5.0751953125,-0.0756121590929979,3.2512790254695574,3.0888671875,-0.16241183796955738,1.8995284461234405,1.986328125,0.08679967887655948
train,C2H2N2O2,rxn3537,8,-9176.337552894462,-9173.78045148006,-9176.232726513195,-9176.443359375,-9173.9326171875,-9176.333984375,2.5571014144024957,2.5107421875,-0.04635922690249572,0.10482638126632082,0.109375,0.004548618733679177,2.452275033136175,2.4013671875,-0.0509078456361749
train,C2H2N2O2,rxn3878,8,-9176.863648695034,-9174.299278738332,-9176.455117940346,-9176.955078125,-9174.419921875,-9176.576171875,2.564369956702649,2.53515625,-0.02921370670264878,0.4085307546883996,0.37890625,-0.02962450468839961,2.155839202014249,2.15625,0.0004107979857508326
train,C2H2N2O2,rxn3879,8,-9176.863648695034,-9172.885506370027,-9173.773321140932,-9176.955078125,-9173.046875,-9173.875,3.978142325007866,3.908203125,-0.06993920000786602,3.0903275541022595,3.080078125,-0.010249429102259455,0.8878147709056066,0.828125,-0.059689770905606565
train,C2H2N2O2,rxn9393,8,-9176.863648695034,-9173.937672075377,-9177.555085208058,-9176.955078125,-9174.0751953125,-9177.5009765625,2.9259766196573764,2.8798828125,-0.04609380715737643,-0.6914365130232909,-0.5458984375,0.1455380755232909,3.6174131326806673,3.42578125,-0.19163188268066733
train,C2H2N4,rxn0127,8,-8061.087488622239,-8058.009189921194,-8058.300507373923,-8061.3681640625,-8058.09619140625,-8058.44921875,3.0782987010452416,3.27197265625,0.19367395520475839,2.7869812483158967,2.9189453125,0.13196406418410334,0.29131745272934495,0.35302734375,0.06170989102065505
train,C2H2N4,rxn0827,8,-8061.417086696443,-8057.111196937281,-8058.722049606207,-8061.5546875,-8057.35107421875,-8058.978515625,4.305889759161801,4.20361328125,-0.10227647791180061,2.695037090235928,2.576171875,-0.11886521523592819,1.6108526689258724,1.62744140625,0.016588737324127578
train,C2H2N4,rxn0828,8,-8061.41708669696,-8057.460486375087,-8058.473804349953,-8061.5546875,-8057.53466796875,-8058.57763671875,3.956600321872429,4.02001953125,0.06341920937757095,2.9432823470069707,2.97705078125,0.03376843424302933,1.0133179748654584,1.04296875,0.029650775134541618
