round,candidate_k,selected_size,pool_size_after_select,uncertainty_metric,max_candidate_uncertainty,test_mean_uncertainty,test_energy_rmse,test_force_rmse,test_energy_l4,test_force_l4
0,9509,512,189684,force_std_p95,1.033381175078,0.277280620314,1.612183282318,0.685331741256,2.315030092603,1.476781775523
1,9484,512,189172,force_std_p95,0.972888382216,0.280643520222,1.301369217739,0.622978290492,1.859405238731,1.345568091392
2,9458,512,188660,force_std_p95,1.016478335317,0.294971450651,1.206341094932,0.577337664055,1.681565973711,1.225498047810
3,9433,512,188148,force_std_p95,0.984346229880,0.326395739187,1.152129245850,0.543982542263,1.561546381928,1.123170162286
4,9407,512,187636,force_std_p95,1.064726798074,0.333771967001,1.164994044859,0.507558023288,1.529143898838,1.022218787746
5,9381,512,187124,force_std_p95,1.007632148000,0.341751446166,1.119088753957,0.488681320877,1.480064865960,0.968644863439
6,9356,512,186612,force_std_p95,0.923577908763,0.353531761587,1.156544157287,0.464369312885,1.512190269460,0.914596394579
7,9330,512,186100,force_std_p95,0.986804894335,0.328655516956,1.157679958809,0.453539230390,1.487370405925,0.894420614116
8,9305,512,185588,force_std_p95,0.906937543220,0.342285684196,1.203872049524,0.440082068128,1.527316031797,0.864427164577
9,9279,512,185076,force_std_p95,2.067293874574,0.343836625007,1.153210236618,0.430801377620,1.464857278157,0.852646283221
10,9253,512,184564,force_std_p95,0.782270754150,0.344355878454,1.113812739786,0.421828960091,1.416915136513,0.835324724716
11,9228,512,184052,force_std_p95,0.972000124076,0.331405927412,1.082067907534,0.412796315485,1.386482330888,0.818186316828
12,9202,512,183540,force_std_p95,1.161602277089,0.329545542510,1.065346523031,0.407296220563,1.364937948951,0.807006873112
13,9177,512,183028,force_std_p95,0.850167683191,0.335503191429,1.046715066522,0.395333315217,1.333355738371,0.786707985273
14,9151,512,182516,force_std_p95,0.823700827909,0.332636573119,0.993516335136,0.390864269496,1.280340144984,0.775678455825
15,9125,512,182004,force_std_p95,0.940476443945,0.340568911007,0.981459774705,0.388071719243,1.262865191257,0.773658373984
16,9100,512,181492,force_std_p95,0.858538197372,0.327417542952,0.993526448496,0.379394896438,1.268447989900,0.752350361420
17,9074,512,180980,force_std_p95,0.845920561473,0.334714637022,0.999348467460,0.377462992720,1.268207839442,0.750953268699
18,9049,512,180468,force_std_p95,0.899817471263,0.322926051509,0.912577186822,0.368652087033,1.178782170670,0.734503193116
19,9023,512,179956,force_std_p95,0.807742061272,0.327322669350,0.969604707278,0.368575963583,1.235426385942,0.734931645157
