round,candidate_k,selected_size,pool_size_after_select,uncertainty_metric,max_candidate_uncertainty,test_mean_uncertainty,test_energy_rmse,test_force_rmse,test_energy_l4,test_force_l4
0,9509,512,189684,force_std_p95,0.622482456982,0.208211420111,1.968415012197,0.832417693695,2.782413746020,1.749410538885
1,9484,512,189172,force_std_p95,0.473671167248,0.203447913914,1.896737344418,0.805231267892,2.651316578460,1.717900493580
2,9458,512,188660,force_std_p95,0.551067750073,0.216161871479,1.792572302445,0.795814244085,2.543694648843,1.700240687626
3,9433,512,188148,force_std_p95,0.539647463886,0.189985181328,1.776759096085,0.783874598983,2.526609430681,1.681423021456
4,9407,512,187636,force_std_p95,0.667158325596,0.233546116560,1.888101137442,0.761890499079,2.636117519331,1.642558790539
5,9381,512,187124,force_std_p95,1.072879005417,0.292481319463,1.935125790530,0.748272546542,2.663017506019,1.617113492204
6,9356,512,186612,force_std_p95,1.114433200018,0.303060029103,2.041232903413,0.719708768513,2.733155232987,1.562054728765
7,9330,512,186100,force_std_p95,0.731575334344,0.290769392097,1.875179017770,0.697678567694,2.539973120930,1.519776237887
8,9305,512,185588,force_std_p95,0.961301482938,0.273370176318,1.702690028879,0.667664707383,2.360770120631,1.453661145691
9,9279,512,185076,force_std_p95,0.896694627820,0.289145414699,1.659547834303,0.667597086684,2.314778092020,1.453146430376
10,9253,512,184564,force_std_p95,0.752775018426,0.295233418702,1.571747055045,0.637790748219,2.185449605082,1.383448293784
11,9228,512,184052,force_std_p95,0.865749158190,0.306520806174,1.536903821225,0.634241919319,2.155278210102,1.369698969164
12,9202,512,183540,force_std_p95,0.806007217769,0.301762156487,1.294581921671,0.615807863252,1.855596543260,1.329464684041
13,9177,512,183028,force_std_p95,0.886455831549,0.317883910246,1.306473994654,0.609241963203,1.887083881731,1.320946896708
14,9151,512,182516,force_std_p95,2.085481041677,0.334947023649,1.256051070197,0.594802995608,1.793749037449,1.273705661611
15,9125,512,182004,force_std_p95,1.382302632625,0.318775808515,1.227573507075,0.586940838894,1.753446204145,1.255090910892
16,9100,512,181492,force_std_p95,1.177267257240,0.333961153178,1.237419052909,0.572805164496,1.742091226574,1.221828044977
17,9074,512,180980,force_std_p95,1.146985768476,0.359086182612,1.205564689026,0.564110970678,1.676444442480,1.199584904530
18,9049,512,180468,force_std_p95,1.289930317318,0.330597436726,1.171656456144,0.556095699424,1.648436530819,1.173510983189
19,9023,512,179956,force_std_p95,1.441091498733,0.343505232578,1.159472142608,0.547769449899,1.637481531607,1.150909247378
